#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description,
188,CVE-2020-11168,476,,,2020-11-12,2020-11-19,10,None,Remote,Low,Not required,Complete,Complete,Complete,u'Null-pointer dereference can occur while accessing data buffer beyond its size that leads to access the buffer beyond its range' in Snapdragon Auto,
1355,CVE-2010-2495,476,,DoS,2010-09-08,2020-08-05,10,None,Remote,Low,Not required,Complete,Complete,Complete,The pppol2tp_xmit function in drivers/net/pppol2tp.c in the L2TP implementation in the Linux kernel before 2.6.34 does not properly validate certain values associated with an interface,
1175,CVE-2016-6604,476,,,2017-01-30,2020-04-07,10,None,Remote,Low,Not required,Complete,Complete,Complete,NULL pointer dereference in Samsung Exynos fimg2d driver for Android L(5.0/5.1) and M(6.0) allows attackers to have unspecified impact via unknown vectors. The Samsung ID is SVE-2016-6382.,
314,CVE-2019-16463,476,,Exec Code,2019-12-19,2019-12-30,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions ,
315,CVE-2019-16460,476,,Exec Code,2019-12-19,2019-12-30,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions ,
316,CVE-2019-16455,476,,Exec Code,2019-12-19,2019-12-30,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions ,
317,CVE-2019-16446,476,,Exec Code,2019-12-19,2019-12-30,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions ,
471,CVE-2019-8196,476,,Exec Code,2019-10-17,2019-11-11,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions ,
472,CVE-2019-8195,476,,Exec Code,2019-10-17,2019-11-11,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions ,
432,CVE-2019-10534,476,,,2019-11-06,2019-11-08,10,None,Remote,Low,Not required,Complete,Complete,Complete,Null-pointer dereference can occur while accessing the super index entry when it is not been allocated in Snapdragon Auto,
481,CVE-2019-7076,476,,Exec Code,2019-05-24,2019-08-21,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2019.010.20069 and earlier,
482,CVE-2019-7066,476,,Exec Code,2019-05-24,2019-08-21,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2019.010.20069 and earlier,
483,CVE-2019-7054,476,,Exec Code,2019-05-24,2019-08-21,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2019.010.20069 and earlier,
484,CVE-2019-7051,476,,Exec Code,2019-05-24,2019-08-21,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2019.010.20069 and earlier,
485,CVE-2019-7046,476,,Exec Code,2019-05-24,2019-08-21,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2019.010.20069 and earlier,
759,CVE-2018-4987,476,,Exec Code,2018-07-09,2019-08-21,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2018.011.20038 and earlier,
764,CVE-2018-3592,476,,,2018-04-11,2018-05-11,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before security patch level 2018-04-05 on Qualcomm Snapdragon Mobile and Snapdragon Wear MDM9206,
1232,CVE-2015-9145,476,,,2018-04-18,2018-05-10,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile, SD 650/52
1233,CVE-2015-9135,476,,,2018-04-18,2018-05-10,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile and Snapdragon Wear MDM9625,
1237,CVE-2015-9127,476,,,2018-04-18,2018-05-10,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile and Snapdragon Wear MSM8909W,
1227,CVE-2015-9200,476,,,2018-04-18,2018-05-09,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile and Snapdragon Wear MDM9206,
1228,CVE-2015-9191,476,,,2018-04-18,2018-05-09,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile and Snapdragon Wear MDM9206, in a QTEE syscall handler
1229,CVE-2015-9175,476,,,2018-04-18,2018-05-09,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile, SD 808
1230,CVE-2015-9162,476,,,2018-04-18,2018-05-09,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile SD 410/12,
1231,CVE-2015-9149,476,,,2018-04-18,2018-05-09,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile, SD 810
1239,CVE-2015-9114,476,,,2018-04-18,2018-05-09,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile and Snapdragon Mobile SD 425,
1240,CVE-2015-9113,476,,,2018-04-18,2018-05-09,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile and Snapdragon Mobile MDM9625,
1241,CVE-2015-9111,476,,,2018-04-18,2018-05-09,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile and Snapdragon Mobile MDM9625,
1242,CVE-2015-9109,476,,,2018-04-18,2018-05-09,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile and Snapdragon Mobile MDM9625,
1236,CVE-2015-9130,476,,,2018-04-18,2018-05-08,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile and Snapdragon Wear MSM8909W,
1090,CVE-2016-10449,476,,,2018-04-18,2018-05-02,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile and Snapdragon Wear MDM9206,
1087,CVE-2016-10496,476,,,2018-04-18,2018-05-01,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile MDM9635M,
1089,CVE-2016-10487,476,,,2018-04-18,2018-05-01,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile,
1225,CVE-2015-9221,476,,,2018-04-18,2018-05-01,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile SD 400,
1226,CVE-2015-9215,476,,,2018-04-18,2018-05-01,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile MDM9615,
1088,CVE-2016-10489,476,,,2018-04-18,2018-04-24,10,None,Remote,Low,Not required,Complete,Complete,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile SD 400,
1283,CVE-2014-9972,476,,,2017-08-18,2018-04-19,10,None,Remote,Low,Not required,Complete,Complete,Complete,In all Qualcomm products with Android releases from CAF using the Linux kernel,
1246,CVE-2015-9054,476,,,2017-08-18,2017-08-24,10,None,Remote,Low,Not required,Complete,Complete,Complete,In all Qualcomm products with Android releases from CAF using the Linux kernel,
1092,CVE-2016-10344,476,,,2017-08-18,2017-08-23,10,None,Remote,Low,Not required,Complete,Complete,Complete,In all Qualcomm products with Android releases from CAF using the Linux kernel,
1244,CVE-2015-9073,476,,,2017-08-18,2017-08-23,10,None,Remote,Low,Not required,Complete,Complete,Complete,In all Qualcomm products with Android releases from CAF using the Linux kernel,
1245,CVE-2015-9072,476,,,2017-08-18,2017-08-23,10,None,Remote,Low,Not required,Complete,Complete,Complete,In all Qualcomm products with Android releases from CAF using the Linux kernel,
1247,CVE-2015-9043,476,,,2017-08-18,2017-08-23,10,None,Remote,Low,Not required,Complete,Complete,Complete,In all Qualcomm products with Android releases from CAF using the Linux kernel,
1248,CVE-2015-9038,476,,,2017-08-18,2017-08-23,10,None,Remote,Low,Not required,Complete,Complete,Complete,In all Qualcomm products with Android releases from CAF using the Linux kernel,
968,CVE-2017-10917,476,,DoS +Info,2017-07-05,2017-11-04,9.4,None,Remote,Low,Not required,Complete,None,Complete,Xen through 4.8.x does not validate the port numbers of polled event channel ports,
104,CVE-2020-27277,476,,Exec Code,2021-01-11,2021-03-09,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Delta Electronics DOPSoft Version 4.0.8.21 and prior has a null pointer dereference issue while processing project files,
203,CVE-2020-9746,476,,Exec Code,2020-10-14,2020-10-21,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Flash Player version 32.0.0.433 (and earlier) are affected by an exploitable NULL pointer dereference vulnerability that could result in a crash and arbitrary code execution. Exploitation of this issue requires an attacker to insert malicious strings in an HTTP response that is by default delivered over TLS/SSL.,
1315,CVE-2012-2039,476,,DoS Exec Code,2012-06-09,2020-08-13,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Flash Player before 10.3.183.20 and 11.x before 11.3.300.257 on Windows and Mac OS X; before 10.3.183.20 and 11.x before 11.2.202.236 on Linux; before 11.1.111.10 on Android 2.x and 3.x; and before 11.1.115.9 on Android 4.x,
622,CVE-2018-15937,476,,Exec Code,2018-10-12,2020-02-24,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2018.011.20063 and earlier,
623,CVE-2018-15931,476,,Exec Code,2018-10-12,2020-02-24,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2018.011.20063 and earlier,
624,CVE-2018-15930,476,,Exec Code,2018-10-12,2020-02-24,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2018.011.20063 and earlier,
1075,CVE-2017-0546,476,,Exec Code +Priv,2017-04-07,2019-10-03,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,An elevation of privilege vulnerability in SurfaceFlinger could enable a local malicious application to execute arbitrary code within the context of a privileged process. This issue is rated as High because it could be used to gain local access to elevated capabilities,
486,CVE-2019-7042,476,,Exec Code,2019-05-24,2019-08-21,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2019.010.20069 and earlier,
554,CVE-2018-19720,476,,Exec Code,2019-01-18,2019-08-21,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2019.008.20081 and earlier,
621,CVE-2018-16004,476,,Exec Code,2019-01-18,2019-08-21,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2019.008.20081 and earlier,
1220,CVE-2016-1813,476,,DoS Exec Code,2016-05-20,2019-03-25,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,The IOAccelSharedUserClient2::page_off_resource method in Apple iOS before 9.3.2,
1269,CVE-2015-7068,476,,DoS Exec Code,2015-12-11,2019-03-25,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,IOKit SCSI in Apple iOS before 9.2,
814,CVE-2017-17770,476,,,2018-04-03,2018-05-08,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,In Qualcomm Android for MSM,
1198,CVE-2016-4724,476,,DoS Exec Code,2016-09-25,2017-07-30,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,IOAcceleratorFamily in Apple iOS before 10 and OS X before 10.12 allows attackers to execute arbitrary code in a privileged context or cause a denial of service (NULL pointer dereference) via a crafted app.,
1199,CVE-2016-4696,476,,DoS Exec Code,2016-09-25,2017-07-30,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,AppleEFIRuntime in Apple OS X before 10.12 allows attackers to execute arbitrary code in a privileged context or cause a denial of service (NULL pointer dereference) via a crafted app.,
1252,CVE-2015-9000,476,,,2017-05-16,2017-07-11,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,In TrustZone an untrusted pointer dereference vulnerability can potentially occur in a DRM routine in all Android releases from CAF using the Linux kernel.,
1249,CVE-2015-9027,476,,,2017-06-13,2017-07-08,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,In all Android releases from CAF using the Linux kernel,
1250,CVE-2015-9026,476,,,2017-06-13,2017-07-08,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,In all Android releases from CAF using the Linux kernel,
1251,CVE-2015-9020,476,,,2017-06-13,2017-07-08,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,In all Android releases from CAF using the Linux kernel,
1284,CVE-2014-9967,476,,,2017-06-13,2017-07-08,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,In all Android releases from CAF using the Linux kernel,
1286,CVE-2014-9943,476,,,2017-06-06,2017-06-09,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,In Core Kernel in all Android releases from CAF using the Linux kernel,
1285,CVE-2014-9949,476,,,2017-06-06,2017-06-08,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,In TrustZone in all Android releases from CAF using the Linux kernel,
