#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description,,,,
1,CVE-2021-34392,190,,DoS Overflow Bypass,2021-06-22,2021-06-29,2.1,None,Local,Low,Not required,None,None,Partial,Trusty TLK contains a vulnerability in the NVIDIA TLK kernel where an integer overflow in the tz_map_shared_mem function can bypass boundary checks,,,,
2,CVE-2021-34391,190,,Overflow Mem. Corr.,2021-06-22,2021-06-29,4.9,None,Local,Low,Not required,None,None,Complete,Trusty TLK contains a vulnerability in the NVIDIA TLK kernelÃ¯Â¿Â½s tz_handle_trusted_app_smc function where a lack of integer overflow checks on the req_off and param_ofs variables leads to memory corruption of critical kernel structures.,,,,
3,CVE-2021-34390,190,,Overflow,2021-06-22,2021-06-29,2.1,None,Local,Low,Not required,None,None,Partial,Trusty TLK contains a vulnerability in the NVIDIA TLK kernel function where a lack of checks allows the exploitation of an integer overflow on the size parameter of the tz_map_shared_mem function.,,,,
4,CVE-2021-34386,190,,Overflow,2021-06-21,2021-06-29,4.6,None,Local,Low,Not required,Partial,Partial,Partial,Trusty TLK contains a vulnerability in the NVIDIA TLK kernel where an integer overflow in the calloc size calculation can cause the multiplication of count and size can overflow,,,,
5,CVE-2021-34372,190,,DoS Overflow,2021-06-22,2021-06-29,4.6,None,Local,Low,Not required,Partial,Partial,Partial,Trusty (the trusted OS produced by NVIDIA for Jetson devices) driver contains a vulnerability in the NVIDIA OTE protocol message parsing code where an integer overflow in a malloc() size calculation leads to a buffer overflow on the heap,,,,
6,CVE-2021-32491,190,,Overflow,2021-06-24,2021-06-28,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,A flaw was found in djvulibre-3.5.28 and earlier. An integer overflow in function render() in tools/ddjvu via crafted djvu file may lead to application crash and other consequences.,,,,
7,CVE-2021-32489,190,,Overflow,2021-05-10,2021-05-19,3.5,None,Remote,Medium,???,None,None,Partial,An issue was discovered in the _send_secure_msg() function of Yubico yubihsm-shell through 2.0.3. The function does not correctly validate the embedded length field of an authenticated message received from the device because response_msg.st.len=8 can be accepted but triggers an integer overflow,,,,
8,CVE-2021-31873,190,,Overflow,2021-04-30,2021-06-28,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,An issue was discovered in klibc before 2.0.9. Additions in the malloc() function may result in an integer overflow and a subsequent heap buffer overflow.,,,,
9,CVE-2021-31872,190,,Overflow,2021-04-30,2021-06-28,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,An issue was discovered in klibc before 2.0.9. Multiple possible integer overflows in the cpio command on 32-bit systems may result in a buffer overflow or other security impact.,,,,
10,CVE-2021-31871,190,,Overflow,2021-04-30,2021-06-28,5,None,Remote,Low,Not required,None,None,Partial,An issue was discovered in klibc before 2.0.9. An integer overflow in the cpio command may result in a NULL pointer dereference on 64-bit systems.,,,,
11,CVE-2021-31870,190,,Overflow,2021-04-30,2021-06-28,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,An issue was discovered in klibc before 2.0.9. Multiplication in the calloc() function may result in an integer overflow and a subsequent heap buffer overflow.,,,,
12,CVE-2021-31807,190,,DoS Overflow,2021-06-08,2021-06-15,4,None,Remote,Low,???,None,None,Partial,An issue was discovered in Squid before 4.15 and 5.x before 5.0.6. An integer overflow problem allows a remote server to achieve Denial of Service when delivering responses to HTTP Range requests. The issue trigger is a header that can be expected to exist in HTTP traffic without any malicious intent.,,,,
13,CVE-2021-31642,190,,DoS Overflow,2021-06-01,2021-06-08,6.8,None,Remote,Low,???,None,None,Complete,A denial of service condition exists after an integer overflow in several IoT devices from CHIYU Technology,,,,
14,CVE-2021-31572,190,,Overflow,2021-04-22,2021-06-02,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,The kernel in Amazon Web Services FreeRTOS before 10.4.3 has an integer overflow in stream_buffer.c for a stream buffer.,,,,
15,CVE-2021-31571,190,,Overflow,2021-04-22,2021-06-02,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,The kernel in Amazon Web Services FreeRTOS before 10.4.3 has an integer overflow in queue.c for queue creation.,,,,
16,CVE-2021-31426,190,,Exec Code Overflow,2021-04-29,2021-04-29,0,None,???,???,???,???,???,???,This vulnerability allows local attackers to escalate privileges on affected installations of Parallels Desktop 16.1.2-49151. An attacker must first obtain the ability to execute low-privileged code on the target system in order to exploit this vulnerability. The specific flaw exists within the Parallels Tools component. The issue results from the lack of proper validation of user-supplied data,,,,
17,CVE-2021-31425,190,,Exec Code Overflow,2021-04-29,2021-04-29,0,None,???,???,???,???,???,???,This vulnerability allows local attackers to escalate privileges on affected installations of Parallels Desktop 16.1.2-49151. An attacker must first obtain the ability to execute low-privileged code on the target guest system in order to exploit this vulnerability. The specific flaw exists within the Parallels Tools component. The issue results from the lack of proper validation of user-supplied data,,,,
18,CVE-2021-31319,190,,Overflow,2021-05-18,2021-05-25,4.3,None,Remote,Medium,Not required,Partial,None,None,Telegram Android <7.1.0 (2090),,,,
19,CVE-2021-30022,190,,Overflow,2021-04-19,2021-04-21,4.3,None,Remote,Medium,Not required,None,None,Partial,There is a integer overflow in media_tools/av_parsers.c in the gf_avc_read_pps_bs_internal in GPAC 1.0.1. pps_id may be a negative number,,,,
