#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
91,CVE-2018-11949,665,,,2019-05-24,2019-05-28,10,None,Remote,Low,Not required,Complete,Complete,Complete,Failure to initialize the extra buffer can lead to an out of buffer access in WLAN function in Snapdragon Auto
35,CVE-2020-9863,665,,Exec Code,2020-10-22,2020-10-27,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,A memory initialization issue was addressed with improved memory handling. This issue is fixed in iOS 13.6 and iPadOS 13.6
64,CVE-2019-8629,665,,Exec Code,2019-12-18,2020-08-24,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,A memory initialization issue was addressed with improved memory handling. This issue is fixed in macOS Mojave 10.14.5. An application may be able to execute arbitrary code with system privileges.
131,CVE-2017-0745,665,,Exec Code,2017-08-09,2019-10-03,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,A remote code execution vulnerability in the Android media framework (avc decoder). Product: Android. Versions: 4.4.4
133,CVE-2017-0723,665,,Exec Code,2017-08-09,2019-10-03,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,A remote code execution vulnerability in the Android media framework (libavc). Product: Android. Versions: 6.0
140,CVE-2014-9942,665,,,2017-06-06,2017-06-09,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,In Boot in all Android releases from CAF using the Linux kernel
63,CVE-2019-10196,665,,DoS,2021-03-19,2021-03-25,9,None,Remote,Low,Not required,Partial,Partial,Complete,A flaw was found in http-proxy-agent
69,CVE-2019-7630,665,,Exec Code,2020-03-25,2020-05-19,9,None,Remote,Low,???,Complete,Complete,Complete,An issue was discovered in gdrv.sys in Gigabyte APP Center before 19.0227.1. The vulnerable driver exposes a wrmsr instruction via IOCTL 0xC3502580 and does not properly filter the target Model Specific Register (MSR). Allowing arbitrary MSR writes can lead to Ring-0 code execution and escalation of privileges.
70,CVE-2019-7245,665,,Exec Code,2020-03-25,2020-04-01,9,None,Remote,Low,???,Complete,Complete,Complete,An issue was discovered in GPU-Z.sys in TechPowerUp GPU-Z before 2.23.0. The vulnerable driver exposes a wrmsr instruction via an IOCTL and does not properly filter the Model Specific Register (MSR). Allowing arbitrary MSR writes can lead to Ring-0 code execution and escalation of privileges.
71,CVE-2019-7244,665,,Exec Code,2020-03-25,2020-04-01,9,None,Remote,Low,???,Complete,Complete,Complete,An issue was discovered in kerneld.sys in AIDA64 before 5.99. The vulnerable driver exposes a wrmsr instruction via IOCTL 0x80112084 and does not properly filter the Model Specific Register (MSR). Allowing arbitrary MSR writes can lead to Ring-0 code execution and escalation of privileges.
72,CVE-2019-7240,665,,Exec Code,2020-03-25,2020-04-01,9,None,Remote,Low,???,Complete,Complete,Complete,An issue was discovered in WinRing0x64.sys in Moo0 System Monitor 1.83. The vulnerable driver exposes a wrmsr instruction via IOCTL 0x9C402088 and does not properly filter the Model Specific Register (MSR). Allowing arbitrary MSR writes can lead to Ring-0 code execution and escalation of privileges.
41,CVE-2020-1617,665,,DoS,2020-04-08,2020-04-13,7.8,None,Remote,Low,Not required,None,None,Complete,This issue occurs on Juniper Networks Junos OS devices which do not support Advanced Forwarding Interface (AFI) / Advanced Forwarding Toolkit (AFT). Devices using AFI and AFT are not exploitable to this issue. An improper initialization of memory in the packet forwarding architecture in Juniper Networks Junos OS non-AFI/AFT platforms which may lead to a Denial of Service (DoS) vulnerability being exploited when a genuine packet is received and inspected by non-AFT/AFI sFlow and when the device is also configured with firewall policers. This first genuine packet received and inspected by sampled flow (sFlow) through a specific firewall policer will cause the device to reboot. After the reboot has completed
143,CVE-2013-1634,665,,DoS,2020-02-13,2020-02-27,7.8,None,Remote,Low,Not required,None,None,Complete,A denial of service vulnerability exists in some motherboard implementations of Intel e1000e/82574L network controller devices through 2013-02-06 where the device can be brought into a non-processing state when parsing 32 hex
61,CVE-2019-12646,665,,DoS,2019-09-25,2019-10-09,7.8,None,Remote,Low,Not required,None,None,Complete,A vulnerability in the Network Address Translation (NAT) Session Initiation Protocol (SIP) Application Layer Gateway (ALG) of Cisco IOS XE Software could allow an unauthenticated
77,CVE-2019-1840,665,,DoS,2019-04-18,2019-10-09,7.8,None,Remote,Low,Not required,None,None,Complete,A vulnerability in the DHCPv6 input packet processor of Cisco Prime Network Registrar could allow an unauthenticated
145,CVE-2011-3927,665,,DoS,2012-01-24,2020-05-07,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Skia
148,CVE-1999-0993,665,,,1999-12-13,2020-04-02,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Modifications to ACLs (Access Control Lists) in Microsoft Exchange 5.5 do not take effect until the directory store cache is refreshed.
139,CVE-2015-8367,665,,Exec Code,2020-01-14,2020-01-24,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,The phase_one_correct function in Libraw before 0.17.1 allows attackers to cause memory errors and possibly execute arbitrary code
89,CVE-2018-14678,665,,DoS +Priv,2018-07-28,2019-10-03,7.2,None,Local,Low,Not required,Complete,Complete,Complete,An issue was discovered in the Linux kernel through 4.17.11
90,CVE-2018-12204,665,,,2019-03-14,2019-10-03,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Improper memory initialization in Platform Sample/Silicon Reference firmware Intel(R) Server Board
100,CVE-2018-6947,665,,DoS +Priv,2018-02-28,2019-10-03,7.2,None,Local,Low,Not required,Complete,Complete,Complete,An uninitialised stack variable in the nxfuse component that is part of the Open Source DokanFS library shipped with NoMachine 6.0.66_2 and earlier allows a local low privileged user to gain elevation of privileges on Windows 7 (32 and 64bit)
121,CVE-2017-13153,665,,,2017-12-06,2019-10-03,7.2,None,Local,Low,Not required,Complete,Complete,Complete,An elevation of privilege vulnerability in the Android media framework (libaudioservice). Product: Android. Versions: 8.0. Android ID A-65280854.
114,CVE-2017-18131,665,,,2019-05-06,2019-05-07,7.2,None,Local,Low,Not required,Complete,Complete,Complete,In QTEE
17,CVE-2020-27950,665,,,2020-12-08,2021-02-11,7.1,None,Remote,Medium,Not required,Complete,None,None,A memory initialization issue was addressed. This issue is fixed in macOS Big Sur 11.0.1
66,CVE-2019-8540,665,,,2019-12-18,2019-12-30,7.1,None,Remote,Medium,Not required,Complete,None,None,A memory initialization issue was addressed with improved memory handling. This issue is fixed in iOS 12.2
134,CVE-2017-0641,665,,DoS,2017-06-14,2019-10-03,7.1,None,Remote,Medium,Not required,None,None,Complete,A remote denial of service vulnerability in libvpx in Mediaserver could enable an attacker to use a specially crafted file to cause a device hang or reboot. This issue is rated as High severity due to the possibility of remote denial of service. Product: Android. Versions: 4.4.4
20,CVE-2020-26886,665,,Exec Code,2021-03-18,2021-03-24,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,Softaculous before 5.5.7 is affected by a code execution vulnerability because of External Initialization of Trusted Variables or Data Stores. This leads to privilege escalation on the local host.
125,CVE-2017-12164,665,,,2018-07-26,2019-10-09,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,A flaw was discovered in gdm 3.24.1 where gdm greeter was no longer setting the ran_once boolean during autologin. If autologin was enabled for a victim
127,CVE-2017-8576,665,,,2017-06-29,2019-10-03,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,The graphics component in Microsoft Windows 10 Gold
39,CVE-2020-5529,665,,Exec Code,2020-02-11,2020-10-21,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,HtmlUnit prior to 2.37.0 contains code execution vulnerabilities. HtmlUnit initializes Rhino engine improperly
21,CVE-2020-24996,665,,DoS,2020-09-03,2020-09-11,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,There is an invalid memory access in the function TextString::~TextString() located in Catalog.cc in Xpdf 4.0.2. It can be triggered by (for example) sending a crafted pdf file to the pdftohtml binary
65,CVE-2019-8552,665,,,2019-12-18,2020-08-24,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,A memory initialization issue was addressed with improved memory handling. This issue is fixed in iOS 12.2
73,CVE-2019-6230,665,,,2019-03-05,2020-08-24,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,A memory initialization issue was addressed with improved memory handling. This issue is fixed in iOS 12.1.3
76,CVE-2019-5605,665,,#NAME?,2019-07-26,2020-08-24,6.8,None,Remote,Low,???,Complete,None,None,In FreeBSD 11.3-STABLE before r350217
93,CVE-2018-10115,665,,DoS Exec Code,2018-05-02,2020-08-24,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Incorrect initialization logic of RAR decoder objects in 7-Zip 18.03 and before can lead to usage of uninitialized memory
58,CVE-2019-12979,665,,,2019-06-26,2020-08-19,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"ImageMagick 7.0.8-34 has a ""use of uninitialized value"" vulnerability in the SyncImageSettings function in MagickCore/image.c. This is related to AcquireImage in magick/image.c."
59,CVE-2019-12978,665,,,2019-06-26,2020-08-19,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"ImageMagick 7.0.8-34 has a ""use of uninitialized value"" vulnerability in the ReadPANGOImage function in coders/pango.c."
60,CVE-2019-12977,665,,,2019-06-26,2020-08-19,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"ImageMagick 7.0.8-34 has a ""use of uninitialized value"" vulnerability in the WriteJP2Image function in coders/jp2.c."
51,CVE-2019-20063,665,,,2019-12-29,2020-01-08,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,hdf/dataobject.c in libmysofa before 0.8 has an uninitialized use of memory
136,CVE-2016-9594,665,,,2018-04-23,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,curl before version 7.52.1 is vulnerable to an uninitialized random in libcurl's internal function that returns a good 32bit random value. Having a weak or virtually non-existent random value makes the operations that use it vulnerable.
130,CVE-2017-3820,665,,DoS,2017-02-03,2019-10-03,6.8,None,Remote,Low,???,None,None,Complete,A vulnerability in Simple Network Management Protocol (SNMP) functions of Cisco ASR 1000 Series Aggregation Services Routers running Cisco IOS XE Software Release 3.13.6S
129,CVE-2017-5468,665,,,2018-06-11,2019-10-03,6.4,None,Remote,Low,Not required,Partial,None,Partial,"An issue with incorrect ownership model of ""privateBrowsing"" information exposed through developer tools. This can result in a non-exploitable crash when manually triggered during debugging. This vulnerability affects Firefox < 53."
122,CVE-2017-12847,665,,Exec Code,2017-08-23,2019-10-03,6.3,None,Local,Medium,Not required,None,Complete,Complete,Nagios Core before 4.3.3 creates a nagios.lock PID file after dropping privileges to a non-root account
124,CVE-2017-12262,665,,#NAME?,2017-11-02,2019-10-09,5.8,None,Local Network,Low,Not required,Partial,Partial,Partial,A vulnerability within the firewall configuration of the Cisco Application Policy Infrastructure Controller Enterprise Module (APIC-EM) could allow an unauthenticated
123,CVE-2017-12736,665,,,2017-12-26,2019-10-03,5.8,None,Local Network,Low,Not required,Partial,Partial,Partial,A vulnerability has been identified in RUGGEDCOM ROS for RSL910 devices (All versions < ROS V5.0.1)
68,CVE-2019-8277,665,,Bypass +Info,2019-03-08,2021-06-28,5,None,Remote,Low,Not required,Partial,None,None,UltraVNC revision 1211 contains multiple memory leaks (CWE-665) in VNC server code
