#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description,
8,CVE-2021-21063,788,,Exec Code Mem. Corr.,2021-02-11,2021-02-17,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Acrobat Reader DC versions versions 2020.013.20074 (and earlier),
9,CVE-2021-21062,788,,Exec Code Mem. Corr.,2021-02-11,2021-02-17,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Acrobat Reader DC versions versions 2020.013.20074 (and earlier),
10,CVE-2021-21059,788,,Exec Code Mem. Corr.,2021-02-11,2021-02-17,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Acrobat Reader DC versions versions 2020.013.20074 (and earlier),
11,CVE-2021-21058,788,,Exec Code Mem. Corr.,2021-02-11,2021-02-17,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Acrobat Reader DC versions versions 2020.013.20074 (and earlier),
12,CVE-2021-21048,788,,Exec Code Mem. Corr.,2021-02-11,2021-02-17,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Photoshop versions 21.2.4 (and earlier) and 22.1.1 (and earlier) are affected by a Memory Corruption vulnerability when parsing a specially crafted file. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file,
2,CVE-2021-27384,788,,Exec Code,2021-05-12,2021-05-21,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,SmartVNC has an out-of-bounds memory access vulnerability in the device layout handler represented by a binary data stream on client side,
6,CVE-2021-21082,788,,Exec Code Mem. Corr.,2021-03-12,2021-06-28,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Adobe Photoshop versions 21.2.5 (and earlier) and 22.2 (and earlier) are affected by a Memory Corruption vulnerability when parsing a specially crafted file. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.,
4,CVE-2021-21093,788,,Exec Code Mem. Corr.,2021-04-15,2021-04-20,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Adobe Bridge versions 10.1.1 (and earlier) and 11.0.1 (and earlier) are affected by a memory corruption vulnerability when parsing a specially crafted file. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.,
5,CVE-2021-21092,788,,Exec Code Mem. Corr.,2021-04-15,2021-04-20,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Adobe Bridge versions 10.1.1 (and earlier) and 11.0.1 (and earlier) are affected by a memory corruption vulnerability when parsing a specially crafted file. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.,
7,CVE-2021-21071,788,,Exec Code Mem. Corr.,2021-03-12,2021-03-16,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Adobe Animate version 21.0.3 (and earlier) is affected by a Memory Corruption vulnerability. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.,
3,CVE-2021-25661,788,,,2021-05-12,2021-05-21,5,None,Remote,Low,Not required,None,None,Partial,SmartVNC has an out-of-bounds memory access vulnerability that could be triggered on the client side when sending data from the server,
1,CVE-2021-32629,788,,,2021-05-24,2021-06-03,4.6,None,Local,Low,Not required,Partial,Partial,Partial,Cranelift is an open-source code generator maintained by Bytecode Alliance. It translates a target-independent intermediate representation into executable machine code. There is a bug in 0.73 of the Cranelift x64 backend that can create a scenario that could result in a potential sandbox escape in a Wasm program. This bug was introduced in the new backend on 2020-09-08 and first included in a release on 2020-09-30, sub
13,CVE-2021-21046,788,,Mem. Corr.,2021-02-11,2021-02-14,4.3,None,Remote,Medium,Not required,None,None,Partial,Acrobat Reader DC versions versions 2020.013.20074 (and earlier),
