PostId,PostTypeId,ParentId,CreationDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastActivityDate,LastEditDate,CommentCount,FavouriteCount,QIds,QViewCounts
102266,2,27,2019-09-05T21:39:14.417,1,,107798,,2019-09-05T21:39:14.417,,0,,27,2697
40395,2,341,2016-01-01T14:36:39.177,2,,24224,,2016-03-19T12:39:50.883,2017-04-13T12:56:22.977,3,,341,49447
84216,2,510,2018-05-23T13:03:59.467,4,,86721,,2018-05-23T13:03:59.467,,1,,510,280703
56372,2,542,2016-10-15T19:02:10.957,3,,33424,,2018-01-13T12:27:25.483,2018-01-13T12:27:25.483,0,,542,18453
4022,2,639,2012-12-17T08:33:52.050,7,,3810,,2012-12-17T08:33:52.050,,1,,639,155751
755,2,754,2012-06-26T20:26:18.653,21,,317,,2016-06-29T14:56:25.397,2016-06-29T14:56:25.397,7,,754,12260
783,2,782,2012-06-27T16:19:02.640,12,,86,,2012-06-27T16:19:02.640,2020-06-16T10:47:29.480,3,,782,5543
7666,2,935,2013-05-28T07:31:22.117,0,,7664,,2013-06-04T13:12:42.117,2013-06-04T13:12:42.117,1,,935,62183
57143,2,935,2016-11-02T02:10:57.653,0,,55928,,2016-11-02T02:10:57.653,,0,,1066,14168
1336,2,1066,2012-07-29T16:41:21.727,4,,840,,2012-07-29T16:41:21.727,,0,,1130,2976
7434,2,1130,2013-05-15T12:32:13.007,1,,7381,,2013-05-15T12:32:13.007,,1,,1153,9978
23277,2,1153,2014-09-15T08:26:29.540,8,,13650,,2014-09-15T08:26:29.540,,0,,1170,2201
1194,2,1170,2012-07-22T01:46:21.883,3,,610,,2017-02-18T05:47:57.437,2017-02-18T05:47:57.437,1,,1179,114369
85733,2,1179,2018-07-07T10:27:20.610,3,,88299,,2018-07-07T11:01:25.867,2018-07-07T11:01:25.867,0,,1207,23463
1216,2,1207,2012-07-23T12:49:52.797,40,,590,,2012-07-26T10:41:42.077,2012-07-26T10:41:42.077,2,,1244,66012
4748,2,1207,2013-01-29T22:47:32.493,4,,4387,,2013-01-29T22:47:32.493,,0,,1270,12404
1259,2,1244,2012-07-24T19:58:29.367,4,,314,,2012-07-24T19:58:29.367,,1,,1284,4361
3620,2,1270,2012-11-17T16:03:38.080,4,,797,,2017-08-12T12:08:06.490,2017-08-12T12:08:06.490,0,,1312,9015
1407,2,1284,2012-08-02T13:46:42.107,11,,506,,2012-08-02T13:55:31.267,2012-08-02T13:55:31.267,4,,1346,44299
1317,2,1312,2012-07-27T20:13:34.763,15,,487,,2012-08-02T21:59:27.580,2012-08-02T21:59:27.580,8,,1417,6045
1347,2,1346,2012-07-30T14:39:17.807,16,,56,,2019-10-11T09:07:56.520,2019-10-11T09:07:56.520,7,,1484,14677
1421,2,1417,2012-08-02T21:57:17.050,6,,777,,2012-08-03T08:54:05.530,2012-08-03T08:54:05.530,0,,1552,27596
1494,2,1484,2012-08-08T04:59:43.283,1,,1056,,2012-08-08T09:26:05.353,2012-08-08T09:26:05.353,6,,1601,15936
1857,2,1552,2012-09-12T12:06:13.213,3,,1477,,2012-09-12T13:03:28.730,2012-09-12T13:03:28.730,0,,1621,12615
24697,2,1601,2014-11-27T05:27:06.617,2,,10152,,2014-11-27T05:51:18.077,2014-11-27T05:51:18.077,0,,1945,1220
1622,2,1621,2012-08-16T11:39:53.483,6,,1070,,2012-08-16T11:39:53.483,2020-06-16T10:47:29.480,2,,2086,126947
1950,2,1945,2012-09-20T15:14:27.920,0,,1431,,2012-09-20T15:14:27.920,,0,,2169,222453
2087,2,2086,2012-10-04T19:00:32.150,86,,86,,2019-07-18T21:37:26.353,2019-07-18T21:37:26.353,13,,3289,85338
53800,2,2086,2016-08-22T09:50:15.130,7,,52293,,2016-08-22T09:50:15.130,2020-06-16T10:47:29.480,3,,3338,6674
51709,2,2169,2016-07-25T14:40:17.780,3,,37947,,2019-02-07T19:52:44.133,2019-02-07T19:52:44.133,0,,3469,14475
119811,2,3289,2021-01-03T22:52:07.230,1,,83790,,2021-01-03T22:52:07.230,,0,,3475,56827
3349,2,3338,2012-10-25T19:32:15.127,1,,1592,,2012-10-26T11:39:53.990,2012-10-26T11:39:53.990,7,,3627,25170
27998,2,3469,2015-02-23T05:11:27.247,0,,20527,,2015-02-23T05:11:27.247,,0,,3802,14638
8958,2,3475,2013-08-11T18:48:36.380,6,,6406,,2013-08-11T18:48:36.380,2017-04-13T12:56:23.633,0,,3881,1782
4052,2,3627,2012-12-19T15:31:43.623,7,,1097,,2012-12-19T15:31:43.623,,0,,3898,6029
31756,2,3627,2015-05-20T17:40:53.173,5,,31057,,2015-05-20T17:46:24.820,2018-12-17T19:02:24.963,1,,4112,3732
50591,2,3802,2016-06-30T15:49:36.183,2,,42924,,2016-06-30T20:03:47.917,2016-06-30T20:03:47.917,0,,4120,148649
3882,2,3881,2012-12-06T23:56:43.633,4,,1101,,2012-12-07T00:15:08.747,2012-12-07T00:15:08.747,7,,4356,161673
3902,2,3898,2012-12-08T17:30:10.693,-1,,3665,,2013-01-10T07:05:45.457,2013-01-10T07:05:45.457,3,,4385,11543
117643,2,4112,2020-10-15T17:33:03.200,-1,,125839,,2020-10-15T17:38:11.673,2020-10-15T17:38:11.673,2,,4533,11136
61123,2,4120,2017-01-27T17:25:38.680,1,,36066,,2020-06-15T09:07:07.917,2020-06-15T09:07:07.917,0,,4625,8585
100776,2,4356,2019-07-17T19:55:52.143,2,,97094,,2019-07-17T19:55:52.143,,1,,4640,10187
59255,2,4385,2016-12-21T21:53:00.643,7,,33476,,2016-12-21T22:14:31.993,2016-12-21T22:14:31.993,0,,4745,101182
4599,2,4533,2013-01-21T17:22:59.377,2,,5537,,2013-01-22T11:04:53.660,2013-01-22T11:04:53.660,0,,4870,4625
4629,2,4625,2013-01-23T08:59:23.340,10,,894,,2013-02-03T02:30:35.083,2017-04-13T12:56:22.977,12,,4884,14113
4632,2,4625,2013-01-23T13:14:17.047,15,,5575,,2016-12-30T15:35:19.643,2017-04-13T12:56:25.647,0,,4906,84190
5198,2,4640,2013-03-02T03:34:05.067,4,,4395,,2013-12-14T15:39:54.020,2013-12-14T15:39:54.020,6,,4943,36939
4747,2,4745,2013-01-29T20:24:51.690,7,,5538,,2013-01-29T20:55:14.313,2013-01-29T20:55:14.313,3,,5000,1218
4877,2,4870,2013-02-07T09:47:56.390,1,,5458,,2013-02-07T09:47:56.390,,0,,5033,144865
