ParentId,PostType,CreationDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,,LastActivityDate,LastEditDate,CommentCount,FavouriteCount
27,1,2012-06-12T20:18:55.390,31,2697,20,,2020-04-11T00:42:01.070,,1,,"<p>What libraries are available for interfacing with the GPIO?</p>
"
341,1,2012-06-15T10:01:31.670,40,49447,35,,2016-06-16T07:50:39.100,,8,,"<ul>
<li><p>What's the current draw when the Raspi is at idle (min), and at 100% CPU/GPU (max)?<br>
(With no peripherals/accessories plugged in)</p></li>
<li><p>What's the minimum and maximum voltage allowed to run the Raspi stably?</p></li>
</ul>
"
510,1,2012-06-19T15:49:19.193,68,280703,,user46,2018-05-23T13:03:59.467,2015-05-06T17:08:14.237,1,,"<p>Arch Linux has the AUR (Arch User Repository), a collection of user-built packages. How do I install these packages on Arch Linux ARM though?</p>
"
542,1,2012-06-20T06:53:01.103,34,18453,226,,2018-12-30T10:14:26.623,2012-09-05T19:21:21.660,9,,"<p>I'm interested in using the Raspberry Pi as a pure embedded CPU unit, for the development of embedded applications. Since the Raspberry Pi has a powerful CPU with quite a bit of memory, it makes an excellent embedded board.</p>

<p>Is it possible to use the Raspberry Pi without a Linux OS? How can I do this?</p>
"
639,1,2012-06-23T23:05:47.867,32,155751,114,,2020-12-07T11:53:55.363,2020-12-07T11:53:55.363,1,,"<p>I would like to use my Raspberry Pi as an PulseAudio sink that can play audio via the network. </p>

<p>For starters I want to get Pulseaudio running locally and have run into various errors. I am using the recommended Debian image. </p>

<p>What is the best procedure for getting PulseAudio up and running?</p>

<hr>

<p>This is what I have tried so far:</p>

<h3>Procedure</h3>

<p>My procedure so far looked something like the following:</p>

<p>Install Pulseaudio, and VLC:</p>

<pre><code>sudo apt-get install pulseaudio
</code></pre>

<p>Configure GStreamer to use the pulseaudio sink:</p>

<pre><code>gconftool-2 -t string --set /system/gstreamer/0.10/default/audiosink pulsesink
</code></pre>

<p>Load the kernel module for the audio device</p>

<pre><code>sudo modprobe snd_bcm2835
</code></pre>

<p>Run VLC with an mp3</p>

<pre><code>vlc 
</code></pre>

<h3>Problems</h3>

<p>VLC cracks repeatedly, printing this error:</p>

<pre><code>[0x7503d0] alsa audio output error: cannot write: Broken pipe
</code></pre>
"
754,1,2012-06-26T20:03:34.373,28,12260,410,,2016-06-29T14:56:25.397,2012-06-26T22:43:53.903,0,,"<p>As Raspberry Pi needs a bit of special code (I'm talking about <code>C/C++</code>) for accessing some hardware features (e.g. a call to <code>bcm_host_init()</code>). I'm looking for a reliable and elegant way to detect this automatically. I don't think there are any compiler <code>#defines</code> such as <code>_WIN32</code> I could abuse, so detecting it from <code>CMake</code> (which can execute shell scripts) would suffice. I'd also like the method to work in most if not all distros.</p>

<p>One way I can think of is that I could look for e.g. <code>/opt/vc/include/bcm_host.h</code> file (which is not difficult), and also check that the architecture is ARM (which is easy at compile time as there are <code>#define</code> macros for that, e.g. <code>__arm__</code> of <code>__ARMEL__</code>). This extra arch check is to prevent false-positives when you have a cross-compiling environment on another machine but are not currently cross-compiling. Is there a different, better way than this?</p>
"
782,1,2012-06-27T16:19:02.360,10,5543,86,,2012-12-08T15:03:49.793,2017-04-13T12:56:25.530,2,,"<p>I have read <a href=""https://raspberrypi.stackexchange.com/questions/1/how-to-build-a-gcc-4-7-toolchain-for-cross-compiling"">How to build a GCC 4.7 toolchain for cross-compiling?</a> and have successfully built a simple test program that works on my RPi.</p>

<p>To do this, I had to run <code>arm-unknown-linux-gnueabi-gcc hello.c -o hello</code> on my x86 desktop and <code>scp</code> the executable to my RPi. This is slow and a hassle. I would rather control the compilation from my RPi.</p>

<p>I have read about <code>distcc</code>, which can be used to distribute the compilation from one machine to another.</p>

<p>How do I install this? I have both Debian/Ubuntu and Arch Linux desktops and both OSs installed on SD cards.</p>
"
935,1,2012-07-04T13:31:12.290,12,62183,518,,2016-11-02T02:10:57.653,2012-07-04T15:45:10.233,4,,"<p>I have a <a href=""http://shop.ciseco.co.uk/xrf-wireless-rf-radio-uart-rs232-serial-data-module-xbee-shape-arduino-pic-etc/"">Ciseco XRF radio module</a> and a <a href=""http://shop.ciseco.co.uk/slice-of-pi/"">Slice of Pi</a> expansion board.</p>

<p>Using the program 'screen' works fine; I can see data being transmitted to the XRF module.</p>

<p>How do I get the data from the serial port, so I can do some processing on it? I tried perl but it didn't read anything.</p>
"
1066,1,2012-07-14T05:43:12.713,25,14168,37,,2016-12-30T10:56:36.693,2013-11-02T22:39:43.727,4,,"<p>Currently, there in no version of Dropbox for ARM Linux variants, there is an article here </p>

<p><a href=""https://www.dropbox.com/votebox/358/linux-arm-support"">https://www.dropbox.com/votebox/358/linux-arm-support</a></p>

<p>I've use Cubby, Google Drive, DropBox, Wuala, SpiderOak and probably a few others, but haven't found anything which supports ARM Linux.</p>

<p>I'm thinking of using Mercurial and syncing using a repository.</p>

<p>It would be extremely useful to be able to have files in a tools cubby - then I could download on a Mac or PC and drop in that folder and then have it available on the device.</p>
"
1130,1,2012-07-18T00:59:43.557,8,2976,634,,2015-09-16T23:16:16.083,,0,,"<p>What is the RPi GPIO Pin output current? </p>

<p>I assume it's more than 10mA since it can drive LEDs without any problem but what is the spec?</p>
"
