PostId,PostTypeId,ParentId,CreationDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastActivityDate,LastEditDate,CommentCount,FavouriteCount,Body,,QIds,QViewCounts
824083,2,824029,2009-05-05T09:32:11.513,2,,100766,,2009-05-05T09:32:11.513,,0,,"<p>you have to open the appropriate com-device with <code>CreateFile</code> like so. Adapt to your needs. </p>

<pre><code>// Handle of the communication connection 
void *comHandle;

// Port parameters, set to your own needs
unsigned portIndex;
unsigned baudRate;
unsigned dataBits;
Parity   parity;
unsigned stopBits;
bool     handShake;
int      readIntervalTimeout;
int      readTotalTimeoutMultiplier;
int      readTotalTimeoutConstant;
int      writeTotalTimeoutMultiplier;
int      writeTotalTimeoutConstant;
DCB dcb;
COMMTIMEOUTS ct;

// Create COM-device name string 
char comDevice[20];
sprintf(comDevice, ""\\\\.\\COM%d"", portIndex);

// Open serial port
_comHandle = CreateFile(comDevice, GENERIC_READ | GENERIC_WRITE, 0, NULL, OPEN_EXISTING, 0, NULL);
if (comHandle == INVALID_HANDLE_VALUE)
{
  return false;
}


ct.ReadIntervalTimeout         = readIntervalTimeout;        
ct.ReadTotalTimeoutMultiplier  = readTotalTimeoutMultiplier; 
ct.ReadTotalTimeoutConstant    = readTotalTimeoutConstant;   
ct.WriteTotalTimeoutMultiplier = writeTotalTimeoutMultiplier;
ct.WriteTotalTimeoutConstant   = writeTotalTimeoutConstant;  

if (!GetCommState(_comHandle,&amp;dcb))
{
  disconnect();
  return false;
}

dcb.BaudRate        = baudRate;  
dcb.ByteSize        = (BYTE)dataBits;
dcb.Parity          = (parity == None) ? NOPARITY : ((parity == Even) ? EVENPARITY : ODDPARITY);
dcb.StopBits        = (stopBits &gt; 1) ? TWOSTOPBITS : ONESTOPBIT;
dcb.fRtsControl     = handShake ? RTS_CONTROL_HANDSHAKE : RTS_CONTROL_ENABLE;
dcb.fOutxCtsFlow    = handShake;
dcb.fOutxDsrFlow    = handShake;
dcb.fDtrControl     = handShake ? DTR_CONTROL_HANDSHAKE : DTR_CONTROL_ENABLE;
dcb.fDsrSensitivity = handShake;
dcb.fOutX           = FALSE;
dcb.fInX            = FALSE;
dcb.fErrorChar      = FALSE;
dcb.fNull           = FALSE;
dcb.fAbortOnError   = TRUE;

// Set port state
if( !SetCommState(_omHandle, &amp;dcb) ||
    !SetCommTimeouts(comHandle, &amp;ct) ||
    !SetupComm(comHandle, 64, 64) ||
    !PurgeComm(comHandle, PURGE_TXABORT | PURGE_RXABORT | PURGE_TXCLEAR | PURGE_RXCLEAR))
{
  disconnect();
  return false;
} 
</code></pre>

<p>Read the appropriate MSDN entries for the various functions called. Also, I've left out the disconnect method for brevity reasons.</p>
",,824029,6323
899226,2,899098,2009-05-22T18:16:25.293,1,,95706,,2009-05-22T18:50:40.150,2009-05-22T18:50:40.150,2,,"<p>As Nikolai mentioned, it looks like you are doing assignment (=) rather than comparison (==) in your ""if"" statements.</p>

<p>A good habit that some C programmers get into is to put rvalues on the left-hand side of comparisons, so that the compiler will generate an error if you accidentally use the assignment operator instead of the comparison operator:</p>

<pre>
if (50 == usbnumber) {   // This is okay.
    ...
}

if (50 = usbnumber) {    // The compiler will generate an error here.
    ...
}
</pre>

<p>This works, regardless of what compiler flags or warning level you are using since assigning to an rvalue is illegal.</p>

<p>I should add that this ""safety net"" doesn't work if you need to compare two lvalues.</p>
",,899098,11287
949915,2,949890,2009-06-04T11:17:47.173,0,,14860,,2009-06-04T11:29:10.287,2009-06-04T11:29:10.287,1,,"<p>Sure, you put this in one of your your header files, say preinit.h:</p>

<pre><code>class Init { public: Init() { initialize(); } }; Init init;
</code></pre>

<p>and then, in <em>one</em> of your compilation units, put:</p>

<pre><code>void initialize(void) {
    // weave your magic here.
}
#include ""preinit.h""
</code></pre>

<p>I know that's a kludge but I'm not aware of <em>any</em> portable way to do pre-main initialization without using a class constructor executed at file scope.</p>

<p>You should also be careful of including more than one of these initialization functions since I don't believe C++ dictates the order - it could be random.</p>

<p>I'm not sure of this ""sketch"" of which you speak but would it be possible to transform the main compilation unit with a script before having it passed to the compiler, something like:</p>

<pre><code>awk '{print;if (substr($0,0,11) == ""int main ("") {print ""initialize();""};}'
</code></pre>

<p>You can see how this would affect your program because:</p>

<pre><code>echo '#include &lt;stdio.h&gt;
int main (void) {
    int x = 1;
    return 0;
}' | awk '{
    print;
    if (substr($0,0,11) == ""int main ("") {
        print ""    initialize();""
    }
}'
</code></pre>

<p>generates the following with the <code>initialize()</code> call added:</p>

<pre><code>#include &lt;stdio.h&gt;
int main (void) {
    initialize();
    int x = 1;
    return 0;
}
</code></pre>

<p>It may be that you can't post-process the generated file in which case you should ignore that final option, but that's what I'd be looking at first.</p>
",,949890,9387
949916,2,949890,2009-06-04T11:17:55.910,0,,83153,,2009-06-04T11:17:55.910,,4,,"<p>Use static members of classes. They are initialized before entering to main. The disadvantage is that you can't control the order of the initialization of the static class members.</p>

<p>Here is your example transformed:</p>

<pre><code>class Init {
private:
    // Made the constructor private, so to avoid calling it in other situation
    // than for the initialization of the static member.
    Init() { initialize(); }

private:
    static Init INIT;
};


Init Init::INIT;
</code></pre>
",,981608,14886
949981,2,949890,2009-06-04T11:33:56.110,2,,30579,,2009-06-04T12:04:23.897,2009-06-04T12:04:23.897,1,,"<p>If you are using the Arduino environment, is there any reason you can't place it in the <a href=""http://arduino.cc/en/Reference/Setup"" rel=""nofollow noreferrer"">setup method</a>?</p>

<p>Of course, this is after the Arduino-specific hardware setup, so if you have such low-level stuff that it really has to go before <code>main</code>, then you need some constructor magic.</p>

<p>UPDATE:</p>

<p>Ok, if it has to be done before the main I think the only way is to use a constructor like you already do.</p>

<p>You can always make a preprocessor macro of it:</p>

<pre><code>#define RUN_EARLY(code) \
namespace { \
    class Init { \
        Init() { code; } \
    }; \
    Init init; \
}
</code></pre>

<p>Now this should work:</p>

<pre><code>RUN_EARLY(initialize())
</code></pre>

<p>But it's not really making things shorter, just moving the verbose code around.</p>
",,1027416,822
950307,2,949890,2009-06-04T12:40:28.567,4,,11698,,2009-06-04T12:48:14.633,2009-06-04T12:48:14.633,1,,"<p>You can make the above very slightly shorter by giving ""initialize"" a return type, and using that to initialize a global variable:</p>

<pre><code>int initialize();
int dummy = initialize();
</code></pre>

<p>However, you need to be careful with this, the standard does not guarantee that the above initialization (or the one for your init object) takes place before main is run (3.6.2/3):</p>

<blockquote>
  <p>It is implementation-defined whether or not the dynamic initialization (8.5, 9.4, 12.1, 12.6.1) of an object of namespace scope is done before the first statement of main.</p>
</blockquote>

<p>The only thing that is guaranteed is that the initialization will take place before 'dummy' is ever used.</p>

<p>A more intrusive option (if it's possible) might be to use ""-D main=avr_main"" in your makefile.  You could then add your own main as follows:</p>

<pre><code>// Add a declaration for the main declared by the avr compiler.
int avr_main (int argc, const char * argv[]);  // Needs to match exactly

#undef main
int main (int argc, const char * argv[])
{
  initialize ();
  return avr_main (argc, argv);
}
</code></pre>

<p>At least here you're guaranteed that the initialization will take place when you expect.</p>
",,1197111,3479
951046,2,949890,2009-06-04T14:46:09.607,3,,20270,,2009-06-04T15:50:56.560,2009-06-04T15:50:56.560,1,,"<p>Here's a somewhat evil method of achieving this:</p>

<pre><code>#include &lt;stdio.h&gt;

static int bar = 0;

int __real_main(int argc, char **argv);

int __wrap_main(int argc, char **argv)
{
    bar = 1;
    return __real_main(argc, argv);
}

int main(int argc, char **argv)
{
    printf(""bar %d\n"",bar);
    return 0;
}
</code></pre>

<p>Add the following to the linker flags: <code>--wrap main</code></p>

<p>eg.</p>

<pre><code>gcc -Xlinker --wrap -Xlinker main a.c
</code></pre>

<p>The linker will replace all calls to <code>main</code> with calls to <code>__wrap_main</code>, see the <a href=""http://unixhelp.ed.ac.uk/CGI/man-cgi?ld"" rel=""nofollow noreferrer"">ld man page</a> on <code>--wrap</code></p>
",,1787106,21442
37435037,2,949890,2016-05-25T10:56:46.370,0,,6271082,,2016-05-25T11:32:58.507,2016-05-25T11:32:58.507,0,,"<p>There is how I perform pre-main coding.
There are sever init sections executed before main, refers to <a href=""http://www.nongnu.org/avr-libc/user-manual/mem_sections.html"" rel=""nofollow"">http://www.nongnu.org/avr-libc/user-manual/mem_sections.html</a> initN sections.</p>

<p>Anyhow, this only works on -O0 optimization for some reason. I still try to find out which option ""optimized"" my pre-main assembly code away.</p>

<pre><code>static void
__attribute__ ((naked))
__attribute__ ((section ("".init8"")))    /* run this right before main */
__attribute__ ((unused))    /* Kill the unused function warning */
stack_init(void) {assembly stuff}
</code></pre>

<p>Update, it turns out I claimed this function is unused, leading to optimize the routine away. I was intended to kill function unused warning. It is fixed to used used attribute instead.</p>
",,1851393,4243
981639,2,981608,2009-06-11T14:59:27.943,30,,1898,,2012-07-03T13:44:09.370,2012-07-03T13:44:09.370,6,,"<p>Try:</p>

<pre><code>x ^= 0x14;
</code></pre>

<p>That toggles both bits. It's a little bit unclear in question as you first mention swap and then give a toggle example. Anyway, to swap the bits:</p>

<pre><code>x = precomputed_lookup [x];
</code></pre>

<p>where precomputed_lookup is a 256 byte array, could be the fastest way, it depends on the memory speed relative to the processor speed. Otherwise, it's:</p>

<pre><code>x = (x &amp; ~0x14) | ((x &amp; 0x10) &gt;&gt; 2) | ((x &amp; 0x04) &lt;&lt; 2);
</code></pre>

<p>EDIT: Some more information about toggling bits.</p>

<p>When you xor (<code>^</code>) two integer values together, the xor is performed at the bit level, like this:</p>

<pre><code>for each (bit in value 1 and value 2)
   result bit = value 1 bit xor value 2 bit
</code></pre>

<p>so that bit 0 of the first value is xor'ed with bit 0 of the second value, bit 1 with bit 1 and so on. The xor operation doesn't affect the other bits in the value. In effect, it's a parallel bit xor on many bits.</p>

<p>Looking at the truth table for xor, you will see that xor'ing a bit with the value '1' effectively toggles the bit.</p>

<pre><code> a  b a^b
 0  0  0
 0  1  1
 1  0  1
 1  1  0
</code></pre>

<p>So, to toggle bits 1 and 3, write a binary number with a one where you want the bit to toggle and a zero where you want to leave the value unchanged:</p>

<pre><code>00001010
</code></pre>

<p>convert to hex: 0x0a. You can toggle as many bits as you want:</p>

<pre><code>0x39 = 00111001
</code></pre>

<p>will toggle bits 0, 3, 4 and 5</p>
",,1991628,3145
982139,2,981608,2009-06-11T16:24:32.403,5,,117503,,2012-07-07T05:19:29.200,2017-05-23T12:01:24.707,1,,"<p>The following method is NOT a single C instruction, it's just another bit fiddling method. The method was simplified from <em><a href=""http://graphics.stanford.edu/~seander/bithacks.html#SwappingBitsXOR"" rel=""nofollow noreferrer"">Swapping individual bits with XOR</a></em>.</p>

<p>As stated in <a href=""https://stackoverflow.com/questions/981608/toggle-two-bits-with-a-single-operation-in-c/981693#981693"">Roddy's answer</a>, a lookup table would be best. I only suggest this in case you didn't want to use one. This will indeed swap bits also, not just toggle (that is, whatever is in bit 2 will be in 4 and vice versa). </p>

<ul>
<li>b: your original value - ???1?0?? for instance  </li>
<li>x: just a temp   </li>
<li><p>r: the result  </p>

<p>x = ((b >> 2) ^ (b >> 4)) &amp; 0x01<br>
r = b ^ ((x &lt;&lt; 2) | (x &lt;&lt; 4))  </p></li>
</ul>

<p>Quick explanation: get the two bits you want to look at and XOR them, store the value to <code>x</code>. By shifting this value back to bits 2 and 4 (and OR'ing together) you get a mask that when XORed back with <code>b</code> will swap your two original bits. The table below shows all possible cases.</p>

<pre><code>bit2: 0 1 0 1  
bit4: 0 0 1 1  
x   : 0 1 1 0   &lt;-- Low bit of x only in this case 
r2  : 0 0 1 1  
r4  : 0 1 0 1
</code></pre>

<p>I did not fully test this, but for the few cases I tried quickly it seemed to work.</p>
",,2018177,1710
